CHR	window	START	END	Cov
1	1	723307	752721	6
1	2	752721	801536	11
1	3	801536	808631	12
1	4	808631	834830	13
1	5	834830	836684	16
1	6	836684	840753	17
1	7	840753	846864	18
1	8	846864	849998	20
1	9	849998	858051	24
1	10	858051	862124	26
1	11	862124	865694	27
1	12	865694	868096	26
1	13	868096	870766	24
1	14	870766	873558	25
1	15	873558	874501	31
1	16	874501	879390	36
1	17	879390	883539	37
1	18	883539	888639	38
1	19	888639	891898	39
1	20	891898	894304	40
1	21	894304	898153	48
1	22	898153	898787	49
1	23	898787	900427	47
1	24	900427	911101	46
1	25	911101	914521	44
1	26	914521	930377	42
1	27	930377	940203	42
1	28	940203	947809	43
1	29	947809	973458	44
1	30	973458	977028	45
1	31	977028	987253	60
1	32	987253	989461	59
1	33	989461	990773	57
1	34	990773	1010040	56
1	35	1010040	1019861	55
1	36	1019861	1026913	54
1	37	1026913	1036959	53
1	38	1036959	1054743	54
1	39	1054743	1099342	52
1	40	1099342	1105721	53
1	41	1105721	1112982	52
1	42	1112982	1114668	54
1	43	1114668	1116231	59
1	44	1116231	1117159	58
1	45	1117159	1119546	57
1	46	1119546	1122196	58
1	47	1122196	1126949	59
1	48	1126949	1129920	60
1	49	1129920	1132938	59
1	50	1132938	1133930	63
1	51	1133930	1139209	64
1	52	1139209	1151917	87
1	53	1151917	1152631	88
1	54	1152631	1158070	87
1	55	1158070	1159024	89
1	56	1159024	1165539	90
1	57	1165539	1172907	88
1	58	1172907	1175305	92
1	59	1175305	1177981	94
1	60	1177981	1177983	97
1	61	1177983	1178482	96
1	62	1178482	1186665	98
1	63	1186665	1195883	97
1	64	1195883	1218655	98
1	65	1218655	1220954	99
1	66	1220954	1221659	103
1	67	1221659	1270132	105
1	68	1270132	1277454	104
1	69	1277454	1290917	96
1	70	1290917	1316887	88
1	71	1316887	1341171	87
1	72	1341171	1365570	88
1	73	1365570	1372632	89
1	74	1372632	1374834	97
1	75	1374834	1386089	101
1	76	1386089	1388289	120
1	77	1388289	1389774	137
1	78	1389774	1396132	146
1	79	1396132	1417994	147
1	80	1417994	1426039	146
1	81	1426039	1431066	145
1	82	1431066	1431174	144
1	83	1431174	1458915	88
1	84	1458915	1462766	86
1	85	1462766	1471017	83
1	86	1471017	1477244	51
1	87	1477244	1487059	50
1	88	1487059	1492438	39
1	89	1492438	1501089	37
1	90	1501089	1510724	36
1	91	1510724	1512885	35
1	92	1512885	1537176	30
1	93	1537176	1537437	31
1	94	1537437	1551927	28
1	95	1551927	1571841	29
1	96	1571841	1575784	31
1	97	1575784	1597020	27
1	98	1597020	1599161	36
1	99	1599161	1603236	35
1	100	1603236	1606982	32
1	101	1606982	1612540	31
1	102	1612540	1620885	32
1	103	1620885	1638925	30
1	104	1638925	1643815	29
1	105	1643815	1654147	28
1	106	1654147	1670415	24
1	107	1670415	1696761	12
1	108	1696761	1770381	11
1	109	1770381	1854546	9
1	110	1854546	1874837	10
1	111	1874837	1887195	12
1	112	1887195	1907739	11
1	113	1907739	1912501	10
1	114	1912501	1923507	9
1	115	1923507	1933267	8
1	116	1933267	1934647	6
1	117	1934647	1959699	4
1	118	1959699	2339890	2
1	119	2339890	2408834	1
1	120	2408834	2537794	2
1	121	2537794	2575533	1
1	122	2575533	2747472	2
1	123	2747472	2786626	1
1	124	2786626	3000441	0
1	125	3000441	3199217	1
1	126	3199217	3407007	0
1	127	3407007	3424379	1
1	128	3424379	3436880	2
1	129	3436880	3480149	3
1	130	3480149	3526273	2
1	131	3526273	3598899	3
1	132	3598899	3616975	2
1	133	3616975	3646291	1
1	134	3646291	3670712	2
1	135	3670712	3675959	1
1	136	3675959	3744084	2
1	137	3744084	3840709	3
1	138	3840709	3995644	2
1	139	3995644	4024256	3
1	140	4024256	4070395	4
1	141	4070395	4160904	3
1	142	4160904	4190685	4
1	143	4190685	4216862	3
1	144	4216862	4262453	4
1	145	4262453	4357576	6
1	146	4357576	4409252	7
1	147	4409252	4423578	6
1	148	4423578	4441089	5
1	149	4441089	4463229	4
1	150	4463229	4597961	3
1	151	4597961	4610733	2
1	152	4610733	4613047	3
1	153	4613047	4653401	2
1	154	4653401	4657087	3
1	155	4657087	5072295	2
1	156	5072295	5088994	1
1	157	5088994	5113911	2
1	158	5113911	5146071	4
1	159	5146071	5159350	5
1	160	5159350	5170712	4
1	161	5170712	5184130	3
1	162	5184130	5215285	2
1	163	5215285	5262285	3
1	164	5262285	5294237	2
1	165	5294237	5341078	3
1	166	5341078	5540807	2
1	167	5540807	5646104	1
1	168	5646104	5947100	0
1	169	5947100	5955841	1
1	170	5955841	5956909	3
1	171	5956909	5961724	12
1	172	5961724	5970367	13
1	173	5970367	5977154	11
1	174	5977154	5987978	2
1	175	5987978	6007259	1
1	176	6007259	6022815	2
1	177	6022815	6053916	1
1	178	6053916	6419320	0
1	179	6419320	6615444	1
1	180	6615444	7200855	0
1	181	7200855	7403020	1
1	182	7403020	7895966	0
1	183	7895966	7980861	3
1	184	7980861	7989566	2
1	185	7989566	8003064	1
1	186	8003064	8016072	2
1	187	8016072	8046672	3
1	188	8046672	8173369	2
