StartofWindow EndofWindow coverage Chr Ploidy
723307 752721 7 1 all
752721 801536 13 1 all
801536 808631 15 1 all
808631 834830 17 1 all
834830 836684 22 1 all
836684 840753 23 1 all
840753 846864 24 1 all
846864 849998 27 1 all
849998 858051 31 1 all
858051 862124 33 1 all
862124 862772 34 1 all
862772 865694 35 1 all
865694 868096 34 1 all
868096 870766 32 1 all
870766 873558 33 1 all
873558 874501 39 1 all
874501 876498 44 1 all
876498 879390 45 1 all
879390 881003 46 1 all
881003 883539 47 1 all
883539 888639 48 1 all
888639 891898 49 1 all
891898 894304 50 1 all
894304 898153 59 1 all
898153 898787 60 1 all
898787 900427 58 1 all
900427 911101 57 1 all
911101 914521 55 1 all
914521 930377 53 1 all
930377 940203 53 1 all
940203 947809 54 1 all
947809 973458 55 1 all
973458 977028 56 1 all
977028 984426 71 1 all
984426 987253 72 1 all
987253 989461 71 1 all
989461 990773 69 1 all
990773 998578 68 1 all
998578 1010040 67 1 all
1010040 1019861 66 1 all
1019861 1026913 65 1 all
1026913 1036959 64 1 all
1036959 1054743 65 1 all
1054743 1099342 62 1 all
1099342 1105721 63 1 all
1105721 1112982 62 1 all
1112982 1114668 64 1 all
1114668 1116231 69 1 all
1116231 1117159 68 1 all
1117159 1119546 67 1 all
1119546 1122196 68 1 all
1122196 1126949 69 1 all
1126949 1129920 71 1 all
1129920 1132938 70 1 all
1132938 1133930 74 1 all
1133930 1139209 75 1 all
1139209 1140271 98 1 all
1140271 1141776 97 1 all
1141776 1151917 96 1 all
1151917 1152631 97 1 all
1152631 1158070 96 1 all
1158070 1159024 98 1 all
1159024 1165539 99 1 all
1165539 1172907 97 1 all
1172907 1175305 101 1 all
1175305 1177981 103 1 all
1177981 1177983 106 1 all
1177983 1178482 105 1 all
1178482 1182905 107 1 all
1182905 1186665 106 1 all
1186665 1195883 105 1 all
1195883 1218655 106 1 all
1218655 1220954 107 1 all
1220954 1221659 111 1 all
1221659 1270132 113 1 all
1270132 1277454 112 1 all
1277454 1290917 101 1 all
1290917 1316887 93 1 all
1316887 1341171 92 1 all
1341171 1365570 93 1 all
1365570 1372632 94 1 all
1372632 1374834 102 1 all
1374834 1386089 105 1 all
1386089 1388289 124 1 all
1388289 1389774 141 1 all
1389774 1396132 150 1 all
1396132 1417994 151 1 all
1417994 1426039 150 1 all
1426039 1431066 149 1 all
1431066 1431174 148 1 all
1431174 1458915 92 1 all
1458915 1462766 90 1 all
1462766 1471017 86 1 all
1471017 1477244 54 1 all
1477244 1487059 53 1 all
1487059 1492438 42 1 all
1492438 1494355 40 1 all
1494355 1501089 39 1 all
1501089 1509156 38 1 all
1509156 1510724 39 1 all
1510724 1512885 38 1 all
1512885 1537176 33 1 all
1537176 1537437 34 1 all
1537437 1551927 31 1 all
1551927 1571841 32 1 all
1571841 1575784 34 1 all
1575784 1597020 30 1 all
1597020 1599161 39 1 all
1599161 1603236 38 1 all
1603236 1606982 35 1 all
1606982 1612540 34 1 all
1612540 1612603 35 1 all
1612603 1620885 34 1 all
1620885 1638925 32 1 all
1638925 1643815 31 1 all
1643815 1654147 30 1 all
1654147 1670415 26 1 all
1670415 1696761 14 1 all
1696761 1738973 13 1 all
1738973 1770381 14 1 all
1770381 1779036 12 1 all
1779036 1812688 11 1 all
1812688 1854546 18 1 all
1854546 1874837 19 1 all
1874837 1887195 21 1 all
1887195 1907739 20 1 all
1907739 1912501 18 1 all
1912501 1923507 17 1 all
1923507 1933267 16 1 all
1933267 1934647 14 1 all
1934647 1959699 12 1 all
1959699 2000337 10 1 all
2000337 2021385 9 1 all
2021385 2040898 8 1 all
2040898 2056115 5 1 all
2056115 2082602 4 1 all
2082602 2209780 3 1 all
2209780 2218034 4 1 all
2218034 2229917 5 1 all
2229917 2261983 6 1 all
